IDUSER;USERNAME;FIRSTNAME;LASTNAME;EMAIL;PASSWORD;AGE;GENDER;HEIGHT;WEIGHT;USERPICTURES;GOAL;TARGETWEIGHT;NBHOURSPERSESSION;BMI;STRDATE;INPUTCARDIO;INPUTARMS;INPUTABS;INPUTLEGS;ACHIEVEMENTPOKEMON
1;Adrian;Adrian;Muino;adrian@muino.com;1234;27;M;2;83;NULL;NULL;100;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;David;David;Hornung;David.hornung@gmail.com;1234;27;M;1.7;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;Pepito;Pepito;Bla;hhhh@gmail.com;1234;25;F;1.7;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4;User4;Firstname4;Lastname4;User4@Firstname4.com;1234;33;F;1.6;89;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
5;User5;Firstname5;Lastname5;User5@Firstname5.com;1234;43;M;2.1;69;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6;User6;Firstname6;Lastname6;User6@Firstname6.com;1234;44;F;2.0;74;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7;User7;Firstname7;Lastname7;User7@Firstname7.com;1234;35;F;2.0;93;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8;User8;Firstname8;Lastname8;User8@Firstname8.com;1234;21;M;1.7;83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9;User9;Firstname9;Lastname9;User9@Firstname9.com;1234;60;M;1.5;91;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;User10;Firstname10;Lastname10;User10@Firstname10.com;1234;51;F;1.8;71;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
11;User11;Firstname11;Lastname11;User11@Firstname11.com;1234;38;F;1.6;81;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
